 	probeId	ensemblId	geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
16	201137_s_at	ENSG00000215048	HLA-DPB1	-6.571331	7.555675	-16.887045	8.508075e-09	4.005543e-06	10.86601120
17	201137_s_at	ENSG00000230708	HLA-DPB1	-6.571331	7.555675	-16.887045	8.508075e-09	4.005543e-06	10.86601120
18	201137_s_at	ENSG00000236693	HLA-DPB1	-6.571331	7.555675	-16.887045	8.508075e-09	4.005543e-06	10.86601120
19	201137_s_at	ENSG00000226826	HLA-DPB1	-6.571331	7.555675	-16.887045	8.508075e-09	4.005543e-06	10.86601120
20	201137_s_at	ENSG00000237710	HLA-DPB1	-6.571331	7.555675	-16.887045	8.508075e-09	4.005543e-06	10.86601120
21	201137_s_at	ENSG00000230763	HLA-DPB1	-6.571331	7.555675	-16.887045	8.508075e-09	4.005543e-06	10.86601120
22	201137_s_at	ENSG00000223865	HLA-DPB1	-6.571331	7.555675	-16.887045	8.508075e-09	4.005543e-06	10.86601120
23	201137_s_at	ENSG00000229295	HLA-DPB1	-6.571331	7.555675	-16.887045	8.508075e-09	4.005543e-06	10.86601120
24	201147_s_at	ENSG00000100234	TIMP3	-5.221934	7.365463	-15.445873	2.050617e-08	8.115096e-06	10.02800872
25	201150_s_at	ENSG00000100234	TIMP3	-6.027128	9.257643	-13.471946	7.804927e-08	2.197127e-05	8.72310441
26	201427_s_at	ENSG00000250722	SEPP1	-6.387561	8.878350	-14.013247	5.319096e-08	1.688875e-05	9.10098259
27	201438_at	ENSG00000163359	COL6A3	-7.397490	7.967969	-9.785088	1.644196e-06	2.146700e-04	5.64221730
28	201564_s_at	ENSG00000075618	FSCN1	-4.129724	8.589994	-3.260942	8.329297e-03	5.239341e-02	-3.22178648
29	201645_at	ENSG00000041982	TNC	-4.945581	6.300171	-5.900471	1.386408e-04	4.066301e-03	1.02336153
30	201797_s_at	ENSG00000204394	VARS	-4.212643	7.677959	-4.360131	1.351185e-03	1.694902e-02	-1.35317068
31	201797_s_at	ENSG00000231116	VARS	-4.212643	7.677959	-4.360131	1.351185e-03	1.694902e-02	-1.35317068
32	201797_s_at	ENSG00000231945	VARS	-4.212643	7.677959	-4.360131	1.351185e-03	1.694902e-02	-1.35317068
33	201797_s_at	ENSG00000224264	VARS	-4.212643	7.677959	-4.360131	1.351185e-03	1.694902e-02	-1.35317068
34	201797_s_at	ENSG00000096171	VARS	-4.212643	7.677959	-4.360131	1.351185e-03	1.694902e-02	-1.35317068
35	201797_s_at	ENSG00000227686	VARS	-4.212643	7.677959	-4.360131	1.351185e-03	1.694902e-02	-1.35317068
36	201797_s_at	ENSG00000226589	VARS	-4.212643	7.677959	-4.360131	1.351185e-03	1.694902e-02	-1.35317068
37	201852_x_at	ENSG00000168542	COL3A1	-7.642322	9.304085	-5.714276	1.793405e-04	4.829311e-03	0.75386179
38	202310_s_at	ENSG00000108821	COL1A1	-8.241844	8.672938	-7.174247	2.693812e-05	1.445132e-03	2.73833572
39	202311_s_at	ENSG00000108821	COL1A1	-4.008172	6.525448	-3.363350	6.993350e-03	4.676893e-02	-3.04429036
40	202403_s_at	ENSG00000164692	COL1A2	-7.820407	10.463326	-8.488803	6.064828e-06	5.520207e-04	4.29259691
41	202404_s_at	ENSG00000164692	COL1A2	-7.467309	8.671304	-7.010398	3.288094e-05	1.656544e-03	2.52988434
42	202435_s_at	ENSG00000138061	CYP1B1	-7.501623	8.323202	-9.148411	3.064261e-06	3.333574e-04	5.00012152
43	202436_s_at	ENSG00000138061	CYP1B1	-5.521424	6.049129	-6.804336	4.244452e-05	1.974429e-03	2.26278261
44	202437_s_at	ENSG00000138061	CYP1B1	-7.718683	8.300695	-11.128043	4.902723e-07	9.427730e-05	6.87961217
45	202481_at	ENSG00000162496	DHRS3	4.053877	6.054342	3.817483	3.259414e-03	2.876664e-02	-2.26321493
46	202736_s_at	ENSG00000130520	LSM4	-4.151098	6.873821	-2.581987	2.689615e-02	1.111252e-01	-4.39329067
47	202746_at	ENSG00000078596	ITM2A	-6.121137	9.900040	-19.047070	2.575959e-09	1.901057e-06	11.97254218
48	202747_s_at	ENSG00000078596	ITM2A	-5.413688	10.647160	-18.048212	4.401380e-09	2.559573e-06	11.48126919
49	202947_s_at	ENSG00000136732	GYPC	-4.255017	9.085767	-10.870130	6.123908e-07	1.085840e-04	6.65337358
50	203092_at	ENSG00000104980	TIMM44	-4.516970	7.445454	-4.458586	1.156500e-03	1.544225e-02	-1.19162960
51	203093_s_at	ENSG00000104980	TIMM44	-5.382907	8.115136	-3.622218	4.514021e-03	3.525696e-02	-2.59746715
52	203184_at	ENSG00000138829	FBN2	4.885794	3.893925	20.917285	1.011451e-09	9.206229e-07	12.80903009
53	203372_s_at	ENSG00000120833	SOCS2	-5.140902	8.272106	-11.542995	3.459458e-07	7.379997e-05	7.23307510
54	203373_at	ENSG00000120833	SOCS2	-4.110614	10.441247	-23.973143	2.576889e-10	3.059327e-07	13.97879372
55	203477_at	ENSG00000204291	COL15A1	-5.399467	6.842679	-5.349922	3.009631e-04	6.638205e-03	0.21217045
56	203632_s_at	ENSG00000167191	GPRC5B	-4.383894	7.582854	-14.467496	3.895300e-08	1.313149e-05	9.40597654
57	203666_at	ENSG00000107562	CXCL12	-5.748183	7.015661	-9.135495	3.104318e-06	3.350455e-04	4.98669259
58	203716_s_at	ENSG00000197635	DPP4	-4.199203	6.461371	-5.137784	4.103802e-04	8.137866e-03	-0.11194624
59	203815_at	ENSG00000184674	GSTT1	-5.063590	5.941503	-3.950601	2.617121e-03	2.505719e-02	-2.03716659
60	203963_at	ENSG00000074410	CA12	-4.688382	6.188844	-5.871483	1.442640e-04	4.177385e-03	0.98172919
61	204238_s_at	ENSG00000112667	DNPH1	-4.055786	6.363159	-4.328946	1.419833e-03	1.745725e-02	-1.40458470
62	204239_s_at	ENSG00000053438	NNAT	4.279986	4.684926	25.925065	1.172126e-10	1.684530e-07	14.62012255
63	204438_at	ENSG00000120586	MRC1	-4.430538	6.120228	-4.662381	8.416777e-04	1.263488e-02	-0.86115760
64	204438_at	ENSG00000183748	MRC1	-4.430538	6.120228	-4.662381	8.416777e-04	1.263488e-02	-0.86115760
65	204438_at	ENSG00000260314	MRC1	-4.430538	6.120228	-4.662381	8.416777e-04	1.263488e-02	-0.86115760
66	204529_s_at	ENSG00000198846	TOX	4.392645	4.491508	7.793518	1.304000e-05	9.469953e-04	3.49587354
67	204670_x_at	ENSG00000198502	HLA-DRB5	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
68	204670_x_at	ENSG00000236884	LOC100507709	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
69	204670_x_at	ENSG00000206306	LOC100507709	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
70	204670_x_at	ENSG00000196126	LOC100507709	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
71	204670_x_at	ENSG00000206240	LOC100507709	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
72	204670_x_at	ENSG00000229074	LOC100507709	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
73	204670_x_at	ENSG00000228080	LOC100507709	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
74	204670_x_at	ENSG00000236884	LOC100507714	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
75	204670_x_at	ENSG00000206306	LOC100507714	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
76	204670_x_at	ENSG00000196126	LOC100507714	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
77	204670_x_at	ENSG00000206240	LOC100507714	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
78	204670_x_at	ENSG00000229074	LOC100507714	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
79	204670_x_at	ENSG00000228080	LOC100507714	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
80	204670_x_at	ENSG00000196126	HLA-DRB1	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
81	204670_x_at	ENSG00000236884	HLA-DRB1	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
82	204670_x_at	ENSG00000206306	HLA-DRB1	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
83	204670_x_at	ENSG00000206240	HLA-DRB1	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
84	204670_x_at	ENSG00000229074	HLA-DRB1	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
85	204670_x_at	ENSG00000228080	HLA-DRB1	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
86	204670_x_at	ENSG00000231021	HLA-DRB4	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
87	204670_x_at	ENSG00000227826	HLA-DRB4	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
88	204670_x_at	ENSG00000227357	HLA-DRB4	-6.799938	8.328091	-5.753530	1.698000e-04	4.640588e-03	0.81108957
89	204749_at	ENSG00000186310	NAP1L3	-5.489530	7.007119	-14.604581	3.551996e-08	1.243472e-05	9.49593915
90	204779_s_at	ENSG00000260027	HOXB7	7.367790	4.171707	72.773474	3.284937e-15	8.969850e-11	20.25761582
91	204818_at	ENSG00000086696	HSD17B2	-5.432975	8.969549	-7.396026	2.067090e-05	1.237773e-03	3.01505906
92	204882_at	ENSG00000163219	ARHGAP25	-5.353547	6.513690	-34.706464	6.141288e-12	2.395629e-08	16.77396381
93	204932_at	ENSG00000164761	TNFRSF11B	-4.335645	5.837087	-8.719974	4.752342e-06	4.651163e-04	4.54569833
94	204933_s_at	ENSG00000164761	TNFRSF11B	-5.155227	6.421027	-11.764063	2.885716e-07	6.406290e-05	7.41628154
95	204972_at	ENSG00000111335	OAS2	-4.108562	5.984936	-9.932222	1.430631e-06	2.013650e-04	5.78525812
96	205081_at	ENSG00000213145	CRIP1	-4.160510	6.438840	-8.553306	5.662954e-06	5.259103e-04	4.36379146
97	205081_at	ENSG00000257341	CRIP1	-4.160510	6.438840	-8.553306	5.662954e-06	5.259103e-04	4.36379146
98	205081_at	ENSG00000270784	CRIP1	-4.160510	6.438840	-8.553306	5.662954e-06	5.259103e-04	4.36379146
99	205081_at	ENSG00000271325	CRIP1	-4.160510	6.438840	-8.553306	5.662954e-06	5.259103e-04	4.36379146
100	205110_s_at	ENSG00000129682	FGF13	-4.307022	8.675304	-8.080063	9.454776e-06	7.397482e-04	3.83085738
101	205113_at	ENSG00000104722	NEFM	-5.458781	8.117831	-5.653928	1.951452e-04	5.040695e-03	0.66545314
102	205269_at	ENSG00000043462	LCP2	-5.102732	6.564286	-17.381066	6.395204e-09	3.175044e-06	11.13389314
103	205270_s_at	ENSG00000043462	LCP2	-4.183229	6.342107	-11.642297	3.187651e-07	6.872973e-05	7.31579954
104	205399_at	ENSG00000133083	DCLK1	-5.141796	7.765083	-6.667231	5.044917e-05	2.179691e-03	2.08195772
105	205514_at	ENSG00000170954	ZNF415	-4.263858	5.392695	-8.215336	8.147522e-06	6.680321e-04	3.98572720
106	205547_s_at	ENSG00000149591	TAGLN	-6.042038	9.049692	-7.615546	1.599271e-05	1.073513e-03	3.28295751
107	205554_s_at	ENSG00000163687	DNASE1L3	-8.401499	7.965212	-6.369391	7.403089e-05	2.761571e-03	1.68041095
108	205576_at	ENSG00000099937	SERPIND1	6.586393	4.139624	31.312940	1.741230e-11	5.282891e-08	16.06035932
109	205679_x_at	ENSG00000157766	ACAN	-5.601594	6.285896	-7.112716	2.902135e-05	1.512322e-03	2.66045865
110	205743_at	ENSG00000144681	STAC	-5.235309	5.976325	-6.835094	4.084400e-05	1.922907e-03	2.30300554
111	205893_at	ENSG00000169760	NLGN1	4.480331	3.543714	40.564773	1.261400e-12	6.888757e-09	17.75050206
112	205899_at	ENSG00000133101	CCNA1	4.175878	6.551677	3.711174	3.889626e-03	3.197174e-02	-2.44483575
113	206011_at	ENSG00000137752	CASP1	-4.100628	5.709388	-7.881365	1.180513e-05	8.735800e-04	3.59958531
114	206114_at	ENSG00000116106	EPHA4	5.029625	5.026520	7.392344	2.076100e-05	1.237773e-03	3.01051576
115	206172_at	ENSG00000123496	IL13RA2	-6.064033	6.839845	-8.047284	9.804697e-06	7.584336e-04	3.79301735
116	206172_at	ENSG00000268456	IL13RA2	-6.064033	6.839845	-8.047284	9.804697e-06	7.584336e-04	3.79301735
117	206204_at	ENSG00000115290	GRB14	6.150162	5.907446	9.817301	1.594632e-06	2.134461e-04	5.67370055
118	206343_s_at	ENSG00000157168	NRG1	4.386750	4.041152	11.725250	2.978423e-07	6.558776e-05	7.38436650
119	206432_at	ENSG00000170961	HAS2	-4.406415	4.686255	-5.041853	4.731565e-04	8.855387e-03	-0.26060597
120	206464_at	ENSG00000102010	BMX	7.038720	7.560604	8.820858	4.279324e-06	4.296000e-04	4.65439010
121	206634_at	ENSG00000138083	SIX3	-4.344500	5.702621	-4.103610	2.039114e-03	2.162518e-02	-1.77946566
122	206837_at	ENSG00000180318	ALX1	4.847547	3.654025	24.405684	2.152833e-10	2.672057e-07	14.12738165
123	207016_s_at	ENSG00000128918	ALDH1A2	6.936667	4.027733	57.392521	3.694641e-14	5.044293e-10	19.44987179
124	207526_s_at	ENSG00000115602	IL1RL1	7.838572	5.342672	26.667674	8.817608e-11	1.416315e-07	14.84550757
125	207601_at	ENSG00000173597	SULT1B1	4.050629	4.443500	7.336346	2.218528e-05	1.288917e-03	2.94120002
126	207692_s_at	ENSG00000157766	ACAN	-4.667635	6.666845	-5.969842	1.261163e-04	3.852050e-03	1.12251069
127	208191_x_at	ENSG00000243137	PSG4	-5.006301	6.638948	-2.665365	2.328046e-02	1.017861e-01	-4.25114554
128	208306_x_at	ENSG00000231021	HLA-DRB4	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
129	208306_x_at	ENSG00000227826	HLA-DRB4	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
130	208306_x_at	ENSG00000227357	HLA-DRB4	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
131	208306_x_at	ENSG00000236884	LOC100507709	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
132	208306_x_at	ENSG00000206306	LOC100507709	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
133	208306_x_at	ENSG00000196126	LOC100507709	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
134	208306_x_at	ENSG00000206240	LOC100507709	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
135	208306_x_at	ENSG00000229074	LOC100507709	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
136	208306_x_at	ENSG00000228080	LOC100507709	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
137	208306_x_at	ENSG00000236884	LOC100507714	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
138	208306_x_at	ENSG00000206306	LOC100507714	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
139	208306_x_at	ENSG00000196126	LOC100507714	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
140	208306_x_at	ENSG00000206240	LOC100507714	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
141	208306_x_at	ENSG00000229074	LOC100507714	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
142	208306_x_at	ENSG00000228080	LOC100507714	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
143	208306_x_at	ENSG00000196126	HLA-DRB1	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
144	208306_x_at	ENSG00000236884	HLA-DRB1	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
145	208306_x_at	ENSG00000206306	HLA-DRB1	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
146	208306_x_at	ENSG00000206240	HLA-DRB1	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
147	208306_x_at	ENSG00000229074	HLA-DRB1	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
148	208306_x_at	ENSG00000228080	HLA-DRB1	-6.684042	8.931675	-6.925941	3.648523e-05	1.782228e-03	2.42108117
149	208850_s_at	ENSG00000154096	THY1	-4.619983	6.059973	-4.644317	8.655158e-04	1.284322e-02	-0.89023078
150	208851_s_at	ENSG00000154096	THY1	-4.415605	6.907335	-5.184637	3.830029e-04	7.781456e-03	-0.03981192
151	208885_at	ENSG00000136167	LCP1	-4.498811	6.107906	-5.671547	1.903821e-04	4.992756e-03	0.69131858
152	209070_s_at	ENSG00000143248	RGS5	6.328079	7.800470	6.493007	6.304987e-05	2.480820e-03	1.84853505
153	209070_s_at	ENSG00000232995	RGS5	6.328079	7.800470	6.493007	6.304987e-05	2.480820e-03	1.84853505
154	209071_s_at	ENSG00000143248	RGS5	5.897270	9.183618	7.577682	1.670999e-05	1.095360e-03	3.23716856
155	209071_s_at	ENSG00000232995	RGS5	5.897270	9.183618	7.577682	1.670999e-05	1.095360e-03	3.23716856
156	209283_at	ENSG00000109846	CRYAB	-4.623508	5.964032	-5.011873	4.948136e-04	9.100543e-03	-0.30732993
157	209283_at	ENSG00000263007	CRYAB	-4.623508	5.964032	-5.011873	4.948136e-04	9.100543e-03	-0.30732993
158	209312_x_at	ENSG00000196126	HLA-DRB1	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
159	209312_x_at	ENSG00000236884	HLA-DRB1	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
160	209312_x_at	ENSG00000206306	HLA-DRB1	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
161	209312_x_at	ENSG00000206240	HLA-DRB1	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
162	209312_x_at	ENSG00000229074	HLA-DRB1	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
163	209312_x_at	ENSG00000228080	HLA-DRB1	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
164	209312_x_at	ENSG00000236884	LOC100507709	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
165	209312_x_at	ENSG00000206306	LOC100507709	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
166	209312_x_at	ENSG00000196126	LOC100507709	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
167	209312_x_at	ENSG00000206240	LOC100507709	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
168	209312_x_at	ENSG00000229074	LOC100507709	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
169	209312_x_at	ENSG00000228080	LOC100507709	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
170	209312_x_at	ENSG00000236884	LOC100507714	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
171	209312_x_at	ENSG00000206306	LOC100507714	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
172	209312_x_at	ENSG00000196126	LOC100507714	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
173	209312_x_at	ENSG00000206240	LOC100507714	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
174	209312_x_at	ENSG00000229074	LOC100507714	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
175	209312_x_at	ENSG00000228080	LOC100507714	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
176	209312_x_at	ENSG00000231021	HLA-DRB4	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
177	209312_x_at	ENSG00000227826	HLA-DRB4	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
178	209312_x_at	ENSG00000227357	HLA-DRB4	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
179	209312_x_at	ENSG00000198502	HLA-DRB5	-8.422749	8.337177	-7.560924	1.703849e-05	1.102137e-03	3.21684826
180	209588_at	ENSG00000133216	EPHB2	5.375072	3.986933	19.583254	1.953379e-09	1.481638e-06	12.22295544
181	209589_s_at	ENSG00000133216	EPHB2	5.008510	5.473663	11.335474	4.112818e-07	8.380940e-05	7.05789649
182	209604_s_at	ENSG00000107485	GATA3	5.062931	5.868582	7.559127	1.707413e-05	1.102137e-03	3.21466730
183	209631_s_at	ENSG00000170775	GPR37	5.192949	4.003992	51.248925	1.170273e-13	1.065182e-09	18.96660219
184	209687_at	ENSG00000107562	CXCL12	-6.771959	7.647025	-11.014319	5.404918e-07	9.969227e-05	6.78048708
185	209728_at	ENSG00000231021	HLA-DRB4	-4.684974	5.488724	-2.901479	1.546704e-02	7.832773e-02	-3.84494328
186	209728_at	ENSG00000227826	HLA-DRB4	-4.684974	5.488724	-2.901479	1.546704e-02	7.832773e-02	-3.84494328
187	209728_at	ENSG00000227357	HLA-DRB4	-4.684974	5.488724	-2.901479	1.546704e-02	7.832773e-02	-3.84494328
188	209735_at	ENSG00000118777	ABCG2	-4.098975	8.598250	-12.528736	1.575808e-07	3.978148e-05	8.02419687
189	209955_s_at	ENSG00000078098	FAP	-4.334064	6.606213	-10.623417	7.608103e-07	1.290353e-04	6.43207313
190	209990_s_at	ENSG00000136928	GABBR2	6.448368	4.228214	30.347922	2.389911e-11	5.932628e-08	15.83287945
191	209993_at	ENSG00000085563	ABCB1	-6.427716	7.214962	-22.542069	4.781012e-10	5.222013e-07	13.45849782
192	209994_s_at	ENSG00000085563	ABCB1	-5.949092	7.766907	-19.862737	1.695876e-09	1.403261e-06	12.34999862
193	209994_s_at	ENSG00000005471	ABCB4	-5.949092	7.766907	-19.862737	1.695876e-09	1.403261e-06	12.34999862
194	210002_at	ENSG00000141448	GATA6	5.576070	5.066953	15.309594	2.237212e-08	8.727043e-06	9.94408728
195	210095_s_at	ENSG00000146674	IGFBP3	-4.173306	6.508953	-4.390535	1.287617e-03	1.650213e-02	-1.30315724
196	210663_s_at	ENSG00000115919	KYNU	-4.101527	6.880964	-5.781948	1.632333e-04	4.557513e-03	0.85238210
197	210809_s_at	ENSG00000133110	POSTN	-7.713164	7.577716	-5.426604	2.694748e-04	6.167460e-03	0.32775197
198	210915_x_at	NA	TRBC1	4.705542	3.726689	14.519548	3.760849e-08	1.296713e-05	9.44024743
199	211161_s_at	ENSG00000168542	COL3A1	-4.178284	7.026570	-3.101287	1.095528e-02	6.256949e-02	-3.49878405
200	211165_x_at	ENSG00000133216	EPHB2	5.084859	5.353608	8.686516	4.921523e-06	4.682478e-04	4.50941711
201	211478_s_at	ENSG00000197635	DPP4	-4.884377	5.557421	-6.166885	9.672050e-05	3.257157e-03	1.40043390
202	211796_s_at	ENSG00000110944	IL23A	8.062087	5.136360	9.733228	1.727550e-06	2.185227e-04	5.59133432
203	211796_s_at	NA	TRBC1	8.062087	5.136360	9.733228	1.727550e-06	2.185227e-04	5.59133432
204	211828_s_at	ENSG00000154310	TNIK	4.650785	3.714309	29.918440	2.760395e-11	6.281279e-08	15.72775492
205	211959_at	ENSG00000115461	IGFBP5	-5.707280	6.710517	-4.873553	6.093154e-04	1.047731e-02	-0.52452135
206	211990_at	ENSG00000231389	HLA-DPA1	-6.808407	7.007772	-14.870630	2.976349e-08	1.083629e-05	9.66786909
207	211990_at	ENSG00000206291	HLA-DPA1	-6.808407	7.007772	-14.870630	2.976349e-08	1.083629e-05	9.66786909
208	211990_at	ENSG00000224103	HLA-DPA1	-6.808407	7.007772	-14.870630	2.976349e-08	1.083629e-05	9.66786909
209	211990_at	ENSG00000235844	HLA-DPA1	-6.808407	7.007772	-14.870630	2.976349e-08	1.083629e-05	9.66786909
210	211990_at	ENSG00000236177	HLA-DPA1	-6.808407	7.007772	-14.870630	2.976349e-08	1.083629e-05	9.66786909
211	211990_at	ENSG00000229685	HLA-DPA1	-6.808407	7.007772	-14.870630	2.976349e-08	1.083629e-05	9.66786909
212	211990_at	ENSG00000168384	HLA-DPA1	-6.808407	7.007772	-14.870630	2.976349e-08	1.083629e-05	9.66786909
213	211990_at	ENSG00000228163	HLA-DPA1	-6.808407	7.007772	-14.870630	2.976349e-08	1.083629e-05	9.66786909
214	211991_s_at	ENSG00000231389	HLA-DPA1	-5.901087	6.467344	-13.493382	7.685287e-08	2.195423e-05	8.73837811
215	211991_s_at	ENSG00000206291	HLA-DPA1	-5.901087	6.467344	-13.493382	7.685287e-08	2.195423e-05	8.73837811
216	211991_s_at	ENSG00000224103	HLA-DPA1	-5.901087	6.467344	-13.493382	7.685287e-08	2.195423e-05	8.73837811
217	211991_s_at	ENSG00000235844	HLA-DPA1	-5.901087	6.467344	-13.493382	7.685287e-08	2.195423e-05	8.73837811
218	211991_s_at	ENSG00000236177	HLA-DPA1	-5.901087	6.467344	-13.493382	7.685287e-08	2.195423e-05	8.73837811
219	211991_s_at	ENSG00000229685	HLA-DPA1	-5.901087	6.467344	-13.493382	7.685287e-08	2.195423e-05	8.73837811
220	211991_s_at	ENSG00000168384	HLA-DPA1	-5.901087	6.467344	-13.493382	7.685287e-08	2.195423e-05	8.73837811
